protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.196,0.21,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,head-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.186,0.177,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,tail-side,1,PRODUCTION_FAIL,FAIL,0.0190,detached,WARN,PASS,PASS,20.0,3.514,3.648,yes,yes,yes,no,no,retention 0.019 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,tail-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.191,0.203,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,tail-side,3,PRODUCTION_FAIL,FAIL,0.2611,detached,WARN,PASS,PASS,20.0,2.51,0.26,yes,yes,yes,no,no,retention 0.261 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,bidirectional,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.193,0.218,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,bidirectional,2,PRODUCTION_FAIL,FAIL,0.0065,detached,WARN,PASS,PASS,20.0,4.226,3.013,yes,yes,yes,no,no,retention 0.006 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.0231,detached,WARN,PASS,PASS,20.0,3.786,4.973,yes,yes,yes,no,no,retention 0.023 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,head-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.175,0.201,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.177,0.196,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,head-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.18,0.154,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,tail-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.193,0.199,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,tail-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.197,0.207,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L20,20,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,runtime,tail-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.189,0.172,yes,yes,yes,yes,no,stability verdict WARN
Pro00083,IsPETase WT,PET_L4,4,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,results,single,1,PRODUCTION_WARN,PASS,0.8308,retained,WARN,PASS,PASS,20.0,0.661,2.584,yes,yes,yes,yes,no,stability verdict WARN
