protein_id,enzyme,replica_id,n_frames,start_time_ns,end_time_ns,median_frame_interval_ps,mean_rg_nm,median_rg_nm,sd_rg_nm,q05_rg_nm,q25_rg_nm,q75_rg_nm,q95_rg_nm,min_rg_nm,max_rg_nm,early_20_60_mean_rg_nm,late_60_100_mean_rg_nm,late_minus_early_rg_nm,linear_slope_rg_nm_per_ns,max_abs_frame_step_rg_nm,mean_backbone_rmsd_nm,pearson_rg_vs_backbone_rmsd,retention_fraction,stability_verdict
Pro00062,LCC,1,8001,20.0,100.0,10.0,1.199301983127109,1.189628,0.08990741657981054,1.066647,1.135772,1.255002,1.367104,0.977016,1.560404,1.188564131,1.2100371514621344,0.021473020462134507,0.0004637510086576577,0.13711800000000007,1.3044239821575287,0.08897192612910287,1.0,WARN
Pro00062,LCC,2,8001,20.0,100.0,10.0,1.2644282962129734,1.257244,0.08586598168797843,1.132669,1.209411,1.309743,1.433896,1.028599,1.60828,1.236481972,1.292367635591102,0.05588566359110203,0.0018596371954630393,0.11505999999999994,1.1907033772211777,0.20081977516122312,1.0,WARN
Pro00062,LCC,3,8001,20.0,100.0,10.0,1.3190502429696287,1.332075,0.09721848769894136,1.152764,1.247251,1.389465,1.46694,1.084378,1.610151,1.291263247,1.3468302939265184,0.05556704692651837,0.0019767153729307626,0.09155000000000002,1.4018484010177124,-0.050770604433383305,1.0,WARN
Pro00057,TfCut1,1,8001,20.0,100.0,10.0,1.0737268855143107,1.071921,0.02934535372913643,1.028842,1.053562,1.091818,1.125731,0.977504,1.194623,1.07765797675,1.0697967768057985,-0.007861199944201536,-5.10053900379358e-05,0.07209899999999991,0.12422142197543169,0.04122674955095655,1.0,PASS
Pro00057,TfCut1,2,8001,20.0,100.0,10.0,1.2161400923634544,1.199885,0.08966224380990079,1.099455,1.158366,1.25846,1.38305,1.016113,1.66656,1.1741473162499998,1.2581223729067732,0.0839750566567734,0.002105104975584007,0.10823300000000002,0.11292184906623519,0.3921400582806497,1.0,PASS
Pro00057,TfCut1,3,8001,20.0,100.0,10.0,1.2815011569803776,1.251665,0.2441684047875172,0.969751,1.094925,1.388676,1.841988,0.89365,2.161875,1.2410090265000002,1.3219831669582605,0.08097414045826024,0.0012090637773721255,0.16740899999999992,0.09842722009888821,0.015293674303494407,1.0,PASS
