case,pet_kind,direction,replica,n_frames,chi1_circular_mean_deg,chi1_circular_sd_deg,chi2_circular_mean_deg,chi2_circular_sd_deg,chi2_q05_deg,chi2_q95_deg,chi2_q90_span_deg,nearest_phl7_reference_distance_mean_deg,nearest_phl7_reference_distance_q95_deg,within_30deg_reference_envelope_fraction,chi1_trans_fraction,w156_contact_fraction,same_unit_coengagement_fraction,complete_same_unit_fraction,nearest_A_fraction,core_A_fraction,nearest_B_fraction,core_B_fraction,nearest_C_fraction,core_C_fraction,core_intermediate_fraction,persistent_transitions_0_2ns,persistent_states_visited_0_2ns,persistent_state_sequence_0_2ns,persistent_transition_rate_per_100ns_0_2ns,persistent_transitions_0_5ns,persistent_states_visited_0_5ns,persistent_state_sequence_0_5ns,persistent_transition_rate_per_100ns_0_5ns,persistent_transitions_1_0ns,persistent_states_visited_1_0ns,persistent_state_sequence_1_0ns,persistent_transition_rate_per_100ns_1_0ns,chi2_mean_w156_contact_yes_deg,frames_w156_contact_yes,nearest_A_fraction_w156_contact_yes,nearest_B_fraction_w156_contact_yes,nearest_C_fraction_w156_contact_yes,chi2_mean_w156_contact_no_deg,frames_w156_contact_no,nearest_A_fraction_w156_contact_no,nearest_B_fraction_w156_contact_no,nearest_C_fraction_w156_contact_no,chi2_mean_w156_contact_yes_minus_no_deg,chi2_mean_same_unit_yes_deg,frames_same_unit_yes,nearest_A_fraction_same_unit_yes,nearest_B_fraction_same_unit_yes,nearest_C_fraction_same_unit_yes,chi2_mean_same_unit_no_deg,frames_same_unit_no,nearest_A_fraction_same_unit_no,nearest_B_fraction_same_unit_no,nearest_C_fraction_same_unit_no,chi2_mean_same_unit_yes_minus_no_deg
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,8001,-175.43378351,5.78045971,95.51221174,9.12027199,80.51180000,109.98900000,29.47720000,10.51987978,21.28959296,0.99987502,1.00000000,0.89501312,0.86126734,0.57005374,0.00000000,0.00000000,0.53118360,0.43494563,0.46881640,0.38057743,0.18447694,0,0,,0.00000000,0,0,,0.00000000,0,0,,0.00000000,95.12396622,7161,0.00000000,0.54782852,0.45217148,98.79578631,840,0.00000000,0.38928571,0.61071429,-3.67182009,94.97787719,6891,0.00000000,0.55550718,0.44449282,98.80957739,1110,0.00000000,0.38018018,0.61981982,-3.83170020
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,8001,-174.69598891,5.78580018,97.63187088,8.88723454,82.82460000,111.84400000,29.01940000,9.50378603,19.24816415,1.00000000,1.00000000,0.26296713,0.24771904,0.15048119,0.00000000,0.00000000,0.43794526,0.34933133,0.56205474,0.47544057,0.17522810,0,0,,0.00000000,0,0,,0.00000000,0,0,,0.00000000,98.33351763,2104,0.00000000,0.41207224,0.58792776,97.37564343,5897,0.00000000,0.44717653,0.55282347,0.95787420,98.14428724,1982,0.00000000,0.41927346,0.58072654,97.45737051,6019,0.00000000,0.44409370,0.55590630,0.68691673
Pro00137_PET_L10_tail_side_r03,PET_L10,tail_side,3,8001,-175.31429419,6.12579999,97.79672965,8.86774105,82.77760000,112.14800000,29.37040000,9.82203612,19.86902192,1.00000000,1.00000000,0.29021372,0.27371579,0.08361455,0.00000000,0.00000000,0.42457193,0.33683290,0.57542807,0.47719035,0.18597675,0,0,,0.00000000,0,0,,0.00000000,0,0,,0.00000000,96.96091137,2322,0.00000000,0.46511628,0.53488372,98.13211437,5679,0.00000000,0.40799437,0.59200563,-1.17120300,96.91270525,2190,0.00000000,0.46484018,0.53515982,98.12367737,5811,0.00000000,0.40939597,0.59060403,-1.21097212
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,8001,-173.70922192,6.03628423,97.93519239,8.70918924,83.64300000,112.18500000,28.54200000,9.20824225,18.81388782,1.00000000,1.00000000,0.90613673,0.86151731,0.56230471,0.00000000,0.00000000,0.42169729,0.33383327,0.57830271,0.48231471,0.18385202,0,0,,0.00000000,0,0,,0.00000000,0,0,,0.00000000,97.85656938,7250,0.00000000,0.42565517,0.57434483,98.66940027,751,0.00000000,0.38348868,0.61651132,-0.81283089,97.78902656,6893,0.00000000,0.42927608,0.57072392,98.82769630,1108,0.00000000,0.37454874,0.62545126,-1.03866974
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,8001,-174.68453215,6.42466946,97.90210657,8.87393856,82.98970000,112.17000000,29.18030000,9.74578073,19.61091118,0.99975003,1.00000000,0.93238345,0.92850894,0.75328084,0.00000000,0.00000000,0.42394701,0.33408324,0.57605299,0.47381577,0.19210099,0,0,,0.00000000,0,0,,0.00000000,0,0,,0.00000000,97.91247808,7460,0.00000000,0.42332440,0.57667560,97.70749556,541,0.00000000,0.43253235,0.56746765,0.20498252,97.92168374,7429,0.00000000,0.42334096,0.57665904,97.59904388,572,0.00000000,0.43181818,0.56818182,0.32263986
