trajectory_id,protein_id,protein,protein_label,catalytic_ser_resid_simulation,catalytic_ser_atom,pet_kind,pet_length,direction,replica_id,run_id,retention_class,retention_fraction,production_verdict,stability_verdict,clash_verdict,pbc_verdict,n_frames,start_time_ns,end_time_ns,median_frame_interval_ps,mean_ser_og_to_any_pet_heavy_min_nm,median_ser_og_to_any_pet_heavy_min_nm,sd_ser_og_to_any_pet_heavy_min_nm,q05_ser_og_to_any_pet_heavy_min_nm,q25_ser_og_to_any_pet_heavy_min_nm,q75_ser_og_to_any_pet_heavy_min_nm,q95_ser_og_to_any_pet_heavy_min_nm,min_ser_og_to_any_pet_heavy_min_nm,max_ser_og_to_any_pet_heavy_min_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_4_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_6_nm,mean_ser_og_to_ester_carbonyl_c_min_nm,median_ser_og_to_ester_carbonyl_c_min_nm,sd_ser_og_to_ester_carbonyl_c_min_nm,q05_ser_og_to_ester_carbonyl_c_min_nm,q25_ser_og_to_ester_carbonyl_c_min_nm,q75_ser_og_to_ester_carbonyl_c_min_nm,q95_ser_og_to_ester_carbonyl_c_min_nm,min_ser_og_to_ester_carbonyl_c_min_nm,max_ser_og_to_ester_carbonyl_c_min_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_4_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_6_nm,mean_carbonyl_minus_any_heavy_min_nm
Pro00062_PET_L10_bidirectional_r01,Pro00062,LCC,LCC WT,165,OG,PET_L10,10,bidirectional,1,pro00062_petl10_h200x32_binding001_20260601T032044Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.77481190,0.67800000,0.31391088,0.42200000,0.49900000,1.03300000,1.35200000,0.28800000,1.98900000,0.01662292,0.37682790,0.88244907,0.78500000,0.31108357,0.52400000,0.61000000,1.15000000,1.44500000,0.38700000,2.11700000,0.00012498,0.22984627,0.10763717
Pro00062_PET_L10_bidirectional_r03,Pro00062,LCC,LCC WT,165,OG,PET_L10,10,bidirectional,3,pro00062_petl10_h200x32_binding001_20260601T032044Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,2.61504474,2.80100000,0.58588774,0.95500000,2.57600000,2.91500000,3.11900000,0.37400000,3.43600000,0.00262467,0.01987252,2.71450869,2.89500000,0.57965926,1.07500000,2.68800000,3.00700000,3.21300000,0.48300000,3.54300000,0.00000000,0.01274841,0.09946394
Pro00062_PET_L20_head_side_r01,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,head-side,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.65723835,1.33600000,0.76581665,0.64600000,1.11100000,2.27700000,3.22700000,0.51900000,3.82600000,0.00000000,0.00999875,1.74694913,1.41900000,0.77355821,0.72000000,1.19300000,2.38100000,3.31400000,0.61500000,3.93900000,0.00000000,0.00000000,0.08971079
Pro00062_PET_L20_head_side_r02,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,head-side,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.76286702,0.76100000,0.06544355,0.66300000,0.71700000,0.80500000,0.87400000,0.55900000,1.05000000,0.00000000,0.00249969,0.91656980,0.92000000,0.07173371,0.79000000,0.86900000,0.96900000,1.02700000,0.66700000,1.16200000,0.00000000,0.00000000,0.15370279
Pro00062_PET_L20_head_side_r03,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,head-side,3,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.64214036,0.63500000,0.08426440,0.53300000,0.59700000,0.68100000,0.76900000,0.36600000,1.30200000,0.00449944,0.26909136,0.72531571,0.71800000,0.07890073,0.62700000,0.68400000,0.75900000,0.84200000,0.47100000,1.40300000,0.00000000,0.03574553,0.08317535
Pro00062_PET_L20_tail_side_r01,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,tail-side,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.28025847,1.28800000,0.14112614,1.02000000,1.19900000,1.36900000,1.48700000,0.74100000,1.85100000,0.00000000,0.00000000,1.39767354,1.40300000,0.13720281,1.15200000,1.31500000,1.48500000,1.60100000,0.91200000,1.95900000,0.00000000,0.00000000,0.11741507
Pro00062_PET_L20_tail_side_r02,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,tail-side,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,0.84390000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.50972928,0.82000000,1.78817504,0.38800000,0.64800000,1.21400000,6.22900000,0.29600000,8.78500000,0.06824147,0.18785152,1.62371404,0.94000000,1.78522824,0.49100000,0.77900000,1.30000000,6.33300000,0.35900000,8.89000000,0.00099988,0.15560555,0.11398475
Pro00062_PET_L20_tail_side_r03,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,tail-side,3,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,0.99880000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.17265079,1.15900000,0.32126803,0.71900000,0.87600000,1.43600000,1.67500000,0.55000000,2.26800000,0.00000000,0.00199975,1.27854968,1.26700000,0.30705988,0.83900000,1.00800000,1.52000000,1.76100000,0.66900000,2.38300000,0.00000000,0.00000000,0.10589889
Pro00062_PET_L20_bidirectional_r01,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,bidirectional,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,0.90390000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.40442595,1.07800000,1.12544107,0.66700000,0.72600000,1.56000000,4.76300000,0.56900000,6.49000000,0.00000000,0.00149981,1.49377965,1.18000000,1.14594108,0.70200000,0.78000000,1.67100000,4.93800000,0.60300000,6.61200000,0.00000000,0.00000000,0.08935371
Pro00062_PET_L20_bidirectional_r02,Pro00062,LCC,LCC WT,165,OG,PET_L20,20,bidirectional,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,retained,0.96410000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,2.59163317,2.72800000,0.89016828,1.25300000,1.76000000,3.25800000,3.85500000,0.76600000,5.47500000,0.00000000,0.00000000,2.70662867,2.84000000,0.89395623,1.38700000,1.87500000,3.37700000,4.00200000,0.87900000,5.66600000,0.00000000,0.00000000,0.11499550
Pro00075_PET_L10_head_side_r01,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L10,10,head-side,1,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.60794388,0.60400000,0.07091075,0.49500000,0.57000000,0.64000000,0.73200000,0.31900000,0.97500000,0.00187477,0.46881640,0.71625809,0.71000000,0.07642408,0.60200000,0.67200000,0.75200000,0.85800000,0.43300000,1.10400000,0.00000000,0.04749406,0.10831421
Pro00075_PET_L10_head_side_r02,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L10,10,head-side,2,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.40533958,0.40000000,0.04379159,0.34200000,0.37300000,0.43300000,0.48500000,0.28700000,0.57700000,0.50031246,1.00000000,0.52739470,0.52300000,0.04252000,0.46500000,0.49700000,0.55500000,0.60300000,0.38700000,0.70600000,0.00037495,0.94500687,0.12205512
Pro00075_PET_L10_head_side_r03,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L10,10,head-side,3,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.49839683,0.47000000,0.10804658,0.36800000,0.42200000,0.54500000,0.73000000,0.28900000,0.94100000,0.14698163,0.83139608,0.60071116,0.56900000,0.11126463,0.47300000,0.52400000,0.64300000,0.84700000,0.38900000,1.04700000,0.00012498,0.63367079,0.10231434
Pro00075_PET_L10_tail_side_r02,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L10,10,tail-side,2,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.99970379,0.99600000,0.10725216,0.84100000,0.91900000,1.07000000,1.19000000,0.63400000,1.45700000,0.00000000,0.00000000,1.10342270,1.10500000,0.11468504,0.91000000,1.02300000,1.18100000,1.29400000,0.70800000,1.48200000,0.00000000,0.00000000,0.10371891
Pro00075_PET_L10_bidirectional_r01,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L10,10,bidirectional,1,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.79497400,0.76800000,0.13163437,0.63400000,0.70500000,0.85600000,1.05700000,0.51400000,1.45800000,0.00000000,0.01462317,0.92373391,0.90400000,0.12210627,0.76300000,0.84100000,0.98300000,1.15800000,0.61900000,1.55900000,0.00000000,0.00000000,0.12875991
Pro00075_PET_L20_head_side_r01,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,head-side,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.73306599,0.73400000,0.05160605,0.64500000,0.70200000,0.76700000,0.81500000,0.50200000,0.95600000,0.00000000,0.01137358,0.82490539,0.82800000,0.05471851,0.73100000,0.79000000,0.86200000,0.91000000,0.60200000,1.03300000,0.00000000,0.00000000,0.09183940
Pro00075_PET_L20_head_side_r02,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,head-side,2,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.60369616,0.60900000,0.10949670,0.33700000,0.56200000,0.66100000,0.77500000,0.27900000,0.94900000,0.07824022,0.45244344,0.82633033,0.85500000,0.10601719,0.52800000,0.80500000,0.88900000,0.93300000,0.42500000,1.04400000,0.00000000,0.07899013,0.22263417
Pro00075_PET_L20_head_side_r03,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,head-side,3,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.79199125,0.79700000,0.04604219,0.69300000,0.77200000,0.82000000,0.85500000,0.51400000,1.00400000,0.00000000,0.00024997,0.91154206,0.91300000,0.05533158,0.81600000,0.87800000,0.95000000,0.99700000,0.63000000,1.14200000,0.00000000,0.00000000,0.11955081
Pro00075_PET_L20_tail_side_r01,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,tail-side,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.99009874,1.00100000,0.12630756,0.76100000,0.91300000,1.07400000,1.18200000,0.53200000,1.42000000,0.00000000,0.00074991,1.11191364,1.12500000,0.12949202,0.88200000,1.02500000,1.20700000,1.29600000,0.63900000,1.51200000,0.00000000,0.00000000,0.12181490
Pro00075_PET_L20_tail_side_r02,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,tail-side,2,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.88050706,0.89900000,0.25369306,0.50300000,0.64800000,1.10500000,1.24100000,0.24900000,1.66700000,0.02062242,0.16935383,0.98792938,1.01000000,0.25140468,0.61400000,0.75600000,1.21100000,1.33900000,0.33000000,1.78300000,0.00874891,0.04399450,0.10742232
Pro00075_PET_L20_tail_side_r03,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,tail-side,3,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.02449294,0.99000000,0.16551891,0.82000000,0.92000000,1.10500000,1.34100000,0.48500000,1.93900000,0.00000000,0.00474941,1.13237083,1.10200000,0.15539770,0.93800000,1.03400000,1.21600000,1.41600000,0.60500000,2.01500000,0.00000000,0.00000000,0.10787789
Pro00075_PET_L20_bidirectional_r01,Pro00075,FoCut5a,FoCut5a,122,OG,PET_L20,20,bidirectional,1,pro00075_petl20_b200h200x32_binding001_20260606T233108Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.11524884,1.13300000,0.13582871,0.82500000,1.05500000,1.21300000,1.29100000,0.62400000,1.43600000,0.00000000,0.00000000,1.23393876,1.25200000,0.12500932,0.96600000,1.18200000,1.31700000,1.39800000,0.73800000,1.60500000,0.00000000,0.00000000,0.11868991
Pro00121_PET_L10_head_side_r02,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L10,10,head-side,2,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.31330734,1.30300000,0.27666338,0.91900000,1.10300000,1.48300000,1.80300000,0.46200000,2.51100000,0.00000000,0.00124984,1.44735608,1.43400000,0.26325024,1.06500000,1.26600000,1.60800000,1.89900000,0.59200000,2.63100000,0.00000000,0.00024997,0.13404874
Pro00121_PET_L10_tail_side_r01,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L10,10,tail-side,1,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.46033671,0.43300000,0.15197120,0.27500000,0.34700000,0.52200000,0.78300000,0.24400000,1.11300000,0.41657293,0.84476940,0.58080865,0.55400000,0.14442020,0.38300000,0.50000000,0.62800000,0.89000000,0.34400000,1.23600000,0.10173728,0.67704037,0.12047194
Pro00121_PET_L10_tail_side_r02,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L10,10,tail-side,2,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.81941320,0.81900000,0.07129279,0.70700000,0.77200000,0.86600000,0.93600000,0.45000000,1.08200000,0.00000000,0.00149981,0.96854868,0.96800000,0.08214130,0.83800000,0.91300000,1.02100000,1.10400000,0.53400000,1.28500000,0.00000000,0.00037495,0.14913548
Pro00121_PET_L10_tail_side_r03,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L10,10,tail-side,3,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.81913148,0.85600000,0.34379336,0.36200000,0.48300000,1.08200000,1.36100000,0.25800000,2.01700000,0.11223597,0.35870516,0.91135471,0.94700000,0.33348943,0.44600000,0.60100000,1.16900000,1.42600000,0.31300000,2.11600000,0.01949756,0.24909386,0.09222322
Pro00121_PET_L10_bidirectional_r03,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L10,10,bidirectional,3,pro00121_petl10_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.02419360,0.97900000,0.17612008,0.79800000,0.89900000,1.14200000,1.35400000,0.61300000,1.94200000,0.00000000,0.00000000,1.14100062,1.11300000,0.16588003,0.90900000,1.02800000,1.23900000,1.44700000,0.74800000,2.04200000,0.00000000,0.00000000,0.11680702
Pro00121_PET_L20_head_side_r01,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,head-side,1,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.08556443,1.15500000,0.22019172,0.55700000,1.05200000,1.22100000,1.30900000,0.35900000,1.49600000,0.00199975,0.08148981,1.23240982,1.25600000,0.13343665,0.96300000,1.17300000,1.32000000,1.41500000,0.64000000,1.67800000,0.00000000,0.00000000,0.14684539
Pro00121_PET_L20_head_side_r02,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,head-side,2,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.76519473,0.72900000,0.15207371,0.57700000,0.65300000,0.84300000,1.07100000,0.45200000,1.28400000,0.00000000,0.09548806,0.88391476,0.84900000,0.14455538,0.70500000,0.77600000,0.95800000,1.17100000,0.56800000,1.37600000,0.00000000,0.00124984,0.11872003
Pro00121_PET_L20_head_side_r03,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,head-side,3,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.12957918,1.12800000,0.20835370,0.77700000,1.02300000,1.24500000,1.48500000,0.45700000,1.79700000,0.00000000,0.01962255,1.22649069,1.22100000,0.19818263,0.89300000,1.12700000,1.34000000,1.56200000,0.57500000,1.85100000,0.00000000,0.00037495,0.09691151
Pro00121_PET_L20_tail_side_r01,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,tail-side,1,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.73567242,0.63400000,0.34507139,0.38300000,0.51000000,0.78100000,1.53600000,0.30400000,1.86100000,0.07999000,0.43432071,0.86214873,0.75700000,0.33720586,0.51300000,0.64900000,0.90300000,1.65000000,0.39000000,1.96600000,0.00012498,0.16360455,0.12647632
Pro00121_PET_L20_tail_side_r02,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,tail-side,2,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.99525034,1.08100000,0.34716468,0.49600000,0.64700000,1.27200000,1.53000000,0.33500000,1.80500000,0.00199975,0.18860142,1.08796013,1.16300000,0.33394752,0.60100000,0.75700000,1.36100000,1.59700000,0.45200000,1.86000000,0.00000000,0.04936883,0.09270979
Pro00121_PET_L20_bidirectional_r01,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,bidirectional,1,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.46586377,0.41400000,0.12359095,0.34200000,0.37600000,0.54400000,0.71900000,0.26200000,0.97200000,0.42094738,0.80614923,0.60948581,0.55900000,0.13964820,0.45300000,0.49800000,0.71800000,0.87900000,0.37000000,1.04800000,0.00262467,0.59742532,0.14362205
Pro00121_PET_L20_bidirectional_r02,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,bidirectional,2,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.73823910,0.72400000,0.13030798,0.55800000,0.64300000,0.82600000,0.96100000,0.30700000,1.25900000,0.00612423,0.12573428,0.86915061,0.85500000,0.11868722,0.70500000,0.78600000,0.94400000,1.07700000,0.48600000,1.35900000,0.00000000,0.01087364,0.13091151
Pro00121_PET_L20_bidirectional_r03,Pro00121,HiC,HiC / 4OYY,105,OG,PET_L20,20,bidirectional,3,pro00121_petl20_b200h200x32_binding001_20260701T051222Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.77832633,0.79700000,0.16503588,0.53000000,0.62500000,0.89400000,1.04900000,0.34200000,1.44900000,0.00012498,0.21072366,0.89065967,0.89100000,0.14196112,0.69500000,0.76300000,0.98600000,1.14300000,0.51700000,1.50700000,0.00000000,0.00049994,0.11233333
Pro00137_PET_L4_single_r02,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L4,4,single,2,pro00137_petl4_b200h200x32_binding001_20260627T162743Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.87935146,0.88000000,0.03412581,0.82300000,0.85900000,0.90100000,0.93200000,0.66300000,1.06100000,0.00000000,0.00000000,0.93890939,0.94000000,0.03573575,0.88100000,0.91700000,0.96200000,0.99400000,0.74400000,1.13300000,0.00000000,0.00000000,0.05955793
Pro00137_PET_L10_head_side_r01,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L10,10,head-side,1,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.76271504,0.71500000,0.16821949,0.61400000,0.66600000,0.77600000,1.18400000,0.48900000,1.61100000,0.00000000,0.02862142,0.84754318,0.78900000,0.17867078,0.70400000,0.74900000,0.84900000,1.29400000,0.62800000,1.72300000,0.00000000,0.00000000,0.08482815
Pro00137_PET_L10_head_side_r03,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L10,10,head-side,3,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,retained,0.90490000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.64613398,1.51000000,1.02987375,0.42200000,0.70100000,2.20900000,3.45700000,0.33100000,5.69000000,0.02162230,0.16060492,1.76727709,1.64600000,1.03339078,0.53700000,0.81700000,2.34500000,3.57500000,0.44900000,5.89100000,0.00000000,0.10723660,0.12114311
Pro00137_PET_L10_tail_side_r03,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L10,10,tail-side,3,pro00137_petl10_b200h200x32_binding001_20260627T181925Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.61091301,0.53100000,0.18072113,0.44400000,0.48800000,0.72300000,0.93000000,0.34700000,1.73500000,0.00324959,0.62117235,0.71438433,0.63500000,0.17941839,0.55000000,0.58900000,0.81600000,1.03100000,0.46900000,1.81300000,0.00000000,0.32320960,0.10347132
Pro00137_PET_L20_tail_side_r02,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L20,20,tail-side,2,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.81525722,0.82300000,0.11197806,0.59900000,0.76900000,0.87100000,0.97200000,0.39200000,1.41400000,0.00024997,0.05111861,0.90312723,0.90800000,0.10957771,0.70900000,0.85300000,0.95900000,1.05800000,0.51300000,1.49200000,0.00000000,0.00862392,0.08787002
Pro00137_PET_L20_bidirectional_r02,Pro00137,PHL7,PHL7 / 7NEI,131,OG,PET_L20,20,bidirectional,2,pro00137_petl20_b200h200x32_binding001_20260628T105714Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.87844532,0.82800000,0.19932587,0.68500000,0.76100000,0.93500000,1.23100000,0.52900000,2.17000000,0.00000000,0.00274966,0.96336633,0.91800000,0.20944240,0.76300000,0.84100000,1.00400000,1.36000000,0.64600000,2.29300000,0.00000000,0.00000000,0.08492101
