trajectory_id,protein_id,protein,protein_label,catalytic_ser_resid_simulation,catalytic_ser_atom,pet_kind,pet_length,direction,replica_id,run_id,retention_class,retention_fraction,production_verdict,stability_verdict,clash_verdict,pbc_verdict,n_frames,start_time_ns,end_time_ns,median_frame_interval_ps,mean_ser_og_to_any_pet_heavy_min_nm,median_ser_og_to_any_pet_heavy_min_nm,sd_ser_og_to_any_pet_heavy_min_nm,q05_ser_og_to_any_pet_heavy_min_nm,q25_ser_og_to_any_pet_heavy_min_nm,q75_ser_og_to_any_pet_heavy_min_nm,q95_ser_og_to_any_pet_heavy_min_nm,min_ser_og_to_any_pet_heavy_min_nm,max_ser_og_to_any_pet_heavy_min_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_4_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_6_nm,mean_ser_og_to_ester_carbonyl_c_min_nm,median_ser_og_to_ester_carbonyl_c_min_nm,sd_ser_og_to_ester_carbonyl_c_min_nm,q05_ser_og_to_ester_carbonyl_c_min_nm,q25_ser_og_to_ester_carbonyl_c_min_nm,q75_ser_og_to_ester_carbonyl_c_min_nm,q95_ser_og_to_ester_carbonyl_c_min_nm,min_ser_og_to_ester_carbonyl_c_min_nm,max_ser_og_to_ester_carbonyl_c_min_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_4_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_6_nm,mean_carbonyl_minus_any_heavy_min_nm
Pro00083_PET_L20_tail_side_r02,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,tail-side,2,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,0.98340000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.95001400,0.72800000,0.53693514,0.53700000,0.64200000,1.08500000,2.33900000,0.35200000,3.24100000,0.00137483,0.15535558,1.05200812,0.81900000,0.53994148,0.64500000,0.74200000,1.19900000,2.45300000,0.44400000,3.35900000,0.00000000,0.02362205,0.10199413
Pro00083_PET_L20_bidirectional_r01,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,bidirectional,1,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,0.88400000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.48109349,0.69200000,1.43043562,0.42300000,0.55500000,2.18900000,4.57900000,0.30200000,5.81000000,0.03049619,0.33233346,1.59243720,0.79900000,1.44045094,0.52600000,0.65800000,2.24700000,4.71600000,0.35100000,5.92200000,0.00099988,0.14573178,0.11134371
Pro00083_PET_L20_bidirectional_r02,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,bidirectional,2,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,0.84240000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.32346394,0.66800000,1.52381066,0.44200000,0.55000000,1.07100000,5.48200000,0.27800000,7.04000000,0.01137358,0.34520685,1.44713223,0.78200000,1.53322760,0.55300000,0.66300000,1.25600000,5.59600000,0.41700000,7.15300000,0.00000000,0.14798150,0.12366829
Pro00057_PET_L4_single_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L4,4,single,2,pro00057_petl4_local_binding002_20260527T061210Z,retained,0.83100000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.68575666,0.79400000,1.41290913,0.67400000,0.73800000,3.05400000,4.40300000,0.46800000,6.46700000,0.00000000,0.00699913,1.78915436,0.90400000,1.43029080,0.74600000,0.81000000,3.20500000,4.52200000,0.58900000,6.57700000,0.00000000,0.00012498,0.10339770
Pro00057_PET_L4_single_r03,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L4,4,single,3,pro00057_petl4_local_binding002_20260527T061210Z,retained,0.97660000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.97304099,0.88200000,0.40693823,0.78300000,0.83700000,0.94800000,1.41100000,0.64600000,4.47200000,0.00000000,0.00000000,1.08269304,0.99300000,0.41289727,0.89100000,0.94600000,1.05600000,1.51900000,0.75400000,4.58800000,0.00000000,0.00000000,0.10965204
Pro00057_PET_L10_head_side_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,head-side,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.75609736,0.74700000,0.10237210,0.60700000,0.68400000,0.81200000,0.94700000,0.46200000,1.16000000,0.00000000,0.04036995,0.87886652,0.86900000,0.09386200,0.74400000,0.81100000,0.93700000,1.05200000,0.57600000,1.19700000,0.00000000,0.00037495,0.12276915
Pro00057_PET_L10_head_side_r03,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,head-side,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.59793551,0.61000000,0.09517809,0.44400000,0.51600000,0.66800000,0.74700000,0.33400000,0.92400000,0.00524934,0.46656668,0.68570479,0.69300000,0.09428397,0.53300000,0.60900000,0.75200000,0.83600000,0.42500000,0.97900000,0.00000000,0.22859643,0.08776928
Pro00057_PET_L10_tail_side_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,tail-side,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.74035921,0.73900000,0.03521800,0.68500000,0.71800000,0.76200000,0.79800000,0.59500000,0.94300000,0.00000000,0.00012498,0.80450794,0.80300000,0.04154877,0.74000000,0.77600000,0.83200000,0.87300000,0.66400000,1.01200000,0.00000000,0.00000000,0.06414873
Pro00057_PET_L10_tail_side_r03,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,tail-side,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.73622822,0.73600000,0.03498540,0.68000000,0.71300000,0.75900000,0.79500000,0.59000000,0.97500000,0.00000000,0.00012498,0.80241170,0.80100000,0.04094828,0.73900000,0.77400000,0.82900000,0.87200000,0.67800000,0.99800000,0.00000000,0.00000000,0.06618348
Pro00057_PET_L10_bidirectional_r02,Pro00057,TfCut1,T. fusca cutinase 1 / CUT1 / 7QJR,131,OG,PET_L10,10,bidirectional,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,retained,1.00000000,PRODUCTION_PASS,PASS,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.71675203,0.74400000,0.15950456,0.42300000,0.63100000,0.81000000,0.95400000,0.32900000,1.34200000,0.01562305,0.21334833,0.80930821,0.82200000,0.15947830,0.52000000,0.72900000,0.90000000,1.06600000,0.42400000,1.42600000,0.00000000,0.14448194,0.09255618
