case,protein_id,pet_kind,protein_label,direction,replica_id,strict_bool,retained_bool,stability_pass_bool
Pro00121_PET_L10_tail_side_r03,Pro00121,PET_L10,HiC / 4OYY,tail-side,3,True,True,True
Pro00121_PET_L20_bidirectional_r01,Pro00121,PET_L20,HiC / 4OYY,bidirectional,1,True,True,True
Pro00121_PET_L20_bidirectional_r02,Pro00121,PET_L20,HiC / 4OYY,bidirectional,2,True,True,True
Pro00121_PET_L20_bidirectional_r03,Pro00121,PET_L20,HiC / 4OYY,bidirectional,3,True,True,True
Pro00121_PET_L20_head_side_r01,Pro00121,PET_L20,HiC / 4OYY,head-side,1,True,True,True
Pro00121_PET_L20_head_side_r02,Pro00121,PET_L20,HiC / 4OYY,head-side,2,True,True,True
Pro00121_PET_L20_head_side_r03,Pro00121,PET_L20,HiC / 4OYY,head-side,3,True,True,True
Pro00121_PET_L20_tail_side_r01,Pro00121,PET_L20,HiC / 4OYY,tail-side,1,True,True,True
Pro00121_PET_L20_tail_side_r02,Pro00121,PET_L20,HiC / 4OYY,tail-side,2,True,True,True
Pro00137_PET_L10_head_side_r01,Pro00137,PET_L10,PHL7 / 7NEI,head-side,1,True,True,True
Pro00137_PET_L10_head_side_r03,Pro00137,PET_L10,PHL7 / 7NEI,head-side,3,True,True,True
Pro00137_PET_L10_tail_side_r03,Pro00137,PET_L10,PHL7 / 7NEI,tail-side,3,True,True,True
Pro00137_PET_L20_bidirectional_r02,Pro00137,PET_L20,PHL7 / 7NEI,bidirectional,2,True,True,True
Pro00137_PET_L20_tail_side_r02,Pro00137,PET_L20,PHL7 / 7NEI,tail-side,2,True,True,True
Pro00137_PET_L4_single_r02,Pro00137,PET_L4,PHL7 / 7NEI,single,2,True,True,True
