case,pet_kind,direction,replica,sample_interval_ps,n_sampled_frames,components,bic,component_chi1_delta_means_deg,component_chi2_means_deg,component_weights,chi2_component_span_deg,all_component_weights_ge_0_10,bic_delta_from_selected,selected_by_bic,resolved_multibasin_by_30deg_rule
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,100,801,2,11057.53736584,6.9281;5.7951,91.8570;103.8961,0.508246;0.491754,12.03905207,True,37.14595522,False,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,100,801,3,11082.74334998,2.8792;9.6459;6.0358,91.5820;93.8094;104.5861,0.258992;0.319288;0.421720,13.00404749,True,62.35193936,False,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,200,401,1,5513.91480935,6.0006,97.9927,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,200,401,2,5545.09323832,6.6131;5.4087,91.6452;104.1273,0.491476;0.508524,12.48207418,True,31.17842897,False,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,200,401,3,5577.24479912,2.2480;9.2683;5.7679,91.1834;92.6925;104.4509,0.226232;0.293978;0.479790,13.26756771,True,63.32998977,False,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,500,161,1,2215.41460513,6.3675,97.9252,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,500,161,2,2242.99491720,6.9198;5.9541,91.3780;102.8241,0.427998;0.572002,11.44610091,True,27.58031207,False,False
Pro00137_PET_L20_bidirectional_r02,PET_L20,bidirectional,2,500,161,3,2264.91005109,10.1912;5.0289;4.3418,89.8136;98.5650;104.9519,0.300826;0.387156;0.312018,15.13833132,True,49.49544597,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,100,801,1,11051.54695395,5.4603,97.7711,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,100,801,2,11093.74282534,6.7508;4.1168,92.5033;103.2549,0.510047;0.489953,10.75166270,True,42.19587139,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,100,801,3,11109.22579677,7.8998;2.8023;6.1514,90.4789;98.6168;105.5384,0.339476;0.383581;0.276944,15.05945789,True,57.67884282,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,200,401,1,5532.68647383,5.6969,97.3800,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,200,401,2,5568.10378876,6.8407;4.6934,91.0620;102.9230,0.467331;0.532669,11.86102983,True,35.41731493,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,200,401,3,5595.74973246,6.9226;3.5303;7.2460,88.4814;99.3095;106.1787,0.347079;0.386701;0.266220,17.69728882,True,63.06325863,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,500,161,1,2236.17933151,5.6401,97.7415,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,500,161,2,2263.01893109,7.9934;3.2627,92.1443;103.3958,0.502535;0.497465,11.25149279,True,26.83959959,False,False
Pro00137_PET_L20_tail_side_r02,PET_L20,tail_side,2,500,161,3,2281.20548320,10.0576;7.9400;1.5947,85.0116;96.2732;104.6380,0.184597;0.391340;0.424063,19.62638186,True,45.02615169,False,False
