protein_id,protein_short,landmark_class,n_l10,n_l20,l10_pooled_share,l20_pooled_share,delta_share,delta_pct_points,bootstrap_ci95_low_pct_points,bootstrap_ci95_high_pct_points,bootstrap_probability_gt_zero,bootstrap_directional_probability,ci95_excludes_zero,leave_one_out_sign_agreement,leave_one_out_min_pct_points,leave_one_out_max_pct_points,common_direction_count,common_directions,direction_deltas_pct_points,direction_adjusted_delta_pct_points,direction_sign_agreement,small_n_flag,stability_warning,all_zero_both_groups,evidence_label,figure7_delta_pct_points,figure7_match_error_pct_points
Pro00083,IsPETase,Catalytic/oxyanion,4,7,0.28734668556376947,0.3291890552687813,0.04184236970501182,4.184236970501182,-18.084507588812,26.960202328153315,0.64695,0.64695,False,0.9090909090909091,-5.967982860959675,13.53447042481971,3,bidirectional;head-side;tail-side,bidirectional:+38.0093;head-side:-14.5867;tail-side:+5.6171,9.679878617763311,0.6666666666666666,False,True,False,uncertain_across_trajectories,4.184236970501187,-5.329070518200751e-15
Pro00083,IsPETase,W-loop/flexible or rigid pair,4,7,0.23060997618444484,0.25918869070042494,0.028578714515980097,2.85787145159801,-15.216159036860075,22.942788781867407,0.62515,0.62515,False,0.8181818181818182,-5.289788817943764,10.219825708519997,3,bidirectional;head-side;tail-side,bidirectional:+36.4308;head-side:-13.2462;tail-side:+0.9990,8.06123280634392,0.6666666666666666,False,True,False,uncertain_across_trajectories,2.85787145159801,0.0
Pro00083,IsPETase,Cleft/rim patch,4,7,0.156600025422798,0.14719952830892297,-0.009400497113875028,-0.9400497113875028,-11.714025003368222,11.71453007734684,0.4493,0.5507,False,0.6363636363636364,-6.472871085628756,3.24098222763069,3,bidirectional;head-side;tail-side,bidirectional:+20.6589;head-side:-9.6484;tail-side:-5.6232,1.795777186749568,0.6666666666666666,False,True,False,uncertain_across_trajectories,-0.9400497113875084,5.551115123125783e-15
Pro00083,IsPETase,Flap/binding loop,4,7,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,0.0,0.0,3,bidirectional;head-side;tail-side,bidirectional:+0.0000;head-side:+0.0000;tail-side:+0.0000,0.0,,False,True,True,structural_zero_in_both_groups,0.0,0.0
Pro00083,IsPETase,Subsite/hotspot/stability,4,7,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,0.0,0.0,3,bidirectional;head-side;tail-side,bidirectional:+0.0000;head-side:+0.0000;tail-side:+0.0000,0.0,,False,True,True,structural_zero_in_both_groups,0.0,0.0
Pro00083,IsPETase,Other/candidate,4,7,0.32544331282898764,0.2644227257218708,-0.06102058710711683,-6.102058710711683,-53.78013060910729,39.32984384464253,0.33405,0.66595,False,0.9090909090909091,-26.99527836097039,17.7306427645322,3,bidirectional;head-side;tail-side,bidirectional:-95.0990;head-side:+37.4813;tail-side:-0.9929,-19.536888610856806,0.6666666666666666,False,True,False,uncertain_across_trajectories,-6.1020587107116775,-5.329070518200751e-15
Pro00057,TfCut1,Catalytic/oxyanion,6,6,0.4123930655239173,0.43496911156554696,0.02257604604162966,2.257604604162966,-3.669100081099383,8.853738036430329,0.75705,0.75705,False,1.0,0.3780883076711872,4.264714063801161,3,bidirectional;head-side;tail-side,bidirectional:+16.6145;head-side:-5.2887;tail-side:-5.3407,1.9950423986357084,0.3333333333333333,False,False,False,uncertain_across_trajectories,2.2576046041629603,5.773159728050814e-15
Pro00057,TfCut1,W-loop/flexible or rigid pair,6,6,0.1473044371478429,0.07009202218351834,-0.07721241496432454,-7.721241496432454,-14.911195233027009,-1.6342482917985341,0.0057,0.9943,True,1.0,-9.846439600901135,-5.580303866349618,3,bidirectional;head-side;tail-side,bidirectional:-7.9551;head-side:-7.4957;tail-side:-6.5033,-7.3180314550007415,1.0,False,False,False,exploratory_directionally_consistent,-7.721241496432459,4.440892098500626e-15
Pro00057,TfCut1,Cleft/rim patch,6,6,0.30072361976659856,0.27483233975279,-0.025891280013808582,-2.589128001380858,-9.189596528439248,6.107377359890193,0.27275,0.72725,False,1.0,-5.0966487192164065,-0.4521030128044612,3,bidirectional;head-side;tail-side,bidirectional:-9.6300;head-side:-0.0326;tail-side:+2.5643,-2.3661048079162934,0.6666666666666666,False,False,False,uncertain_across_trajectories,-2.589128001380864,5.773159728050814e-15
Pro00057,TfCut1,Flap/binding loop,6,6,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,0.0,0.0,3,bidirectional;head-side;tail-side,bidirectional:+0.0000;head-side:+0.0000;tail-side:+0.0000,0.0,,False,False,True,structural_zero_in_both_groups,0.0,0.0
Pro00057,TfCut1,Subsite/hotspot/stability,6,6,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,0.0,0.0,3,bidirectional;head-side;tail-side,bidirectional:+0.0000;head-side:+0.0000;tail-side:+0.0000,0.0,,False,False,True,structural_zero_in_both_groups,0.0,0.0
Pro00057,TfCut1,Other/candidate,6,6,0.13957887756164114,0.22010652649814474,0.0805276489365036,8.05276489365036,-1.2292766583981773,16.49503175156395,0.9552,0.9552,False,1.0,4.705112109258466,10.967469717524587,3,bidirectional;head-side;tail-side,bidirectional:+0.9705;head-side:+12.8171;tail-side:+9.2797,7.689093864281342,1.0,False,False,False,uncertain_across_trajectories,8.052764893650357,3.552713678800501e-15
Pro00062,LCC,Catalytic/oxyanion,3,8,0.33287303592760575,0.23891324329988736,-0.09395979262771839,-9.395979262771839,-32.90185434179694,24.239242028756333,0.2832,0.7168,False,1.0,-23.461321962336164,-0.6496683860026276,2,bidirectional;head-side,bidirectional:+7.6548;head-side:-22.4842,-7.414719974255159,0.5,False,True,False,uncertain_across_trajectories,-9.39597926277184,1.7763568394002505e-15
