trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00057__PET_L20__head-side__r2,TfCut1,Pro00057,20,head-side,2,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,1786283194,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L20__head-side__r3,TfCut1,Pro00057,20,head-side,3,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,618096417,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L20__tail-side__r1,TfCut1,Pro00057,20,tail-side,1,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.3402,detached,20-100,PRODUCTION_FAIL,PASS,PASS,PASS,167259574,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L20__tail-side__r2,TfCut1,Pro00057,20,tail-side,2,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,1555967259,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L20__tail-side__r3,TfCut1,Pro00057,20,tail-side,3,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.0096,detached,20-100,PRODUCTION_FAIL,PASS,PASS,PASS,509086533,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00062__PET_L4__single__r1,LCC,Pro00062,4,single,1,pro00062_petl4_h200x32_binding001_20260531T161122Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260315,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L4__single__r2,LCC,Pro00062,4,single,2,pro00062_petl4_h200x32_binding001_20260531T161122Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9319,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260316,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L4__single__r3,LCC,Pro00062,4,single,3,pro00062_petl4_h200x32_binding001_20260531T161122Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.5986,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260317,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__bidirectional__r1,LCC,Pro00062,10,bidirectional,1,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1419718624,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L10__bidirectional__r2,LCC,Pro00062,10,bidirectional,2,pro00062_petl10_h200x32_binding001_20260601T032044Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.5987,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1945568215,2025.4,2025.4,deployed_run_copy
