path,source_name,source_sha256,adaptation,functions
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep01/MD.mdp,MD.mdp,78ca949410fdf90b74a201c41f58da098867d36b0ad5e99a05d1368211b7d8e2,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep01/NPT.mdp,NPT.mdp,84d9cc21c2ab9a5563cd3a25404be3bf22c63c133d293bfde7a568ef122306ef,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep01/NVT.mdp,NVT.mdp,bae6ada3b8459f0a8325f7c8faa0421829c88ea4c7292a85cfa24e7101a0f530,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep02/MD.mdp,MD.mdp,b68ed144c5a67260be62f82777181a2d579385af9690fb9d637059f12882ac4c,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep02/NPT.mdp,NPT.mdp,dcbcc5101152c61a366e7ae1c42a1ff41af66766bdc966b21cd5a47d4bdffdc0,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep02/NVT.mdp,NVT.mdp,fcc83ab0fa85e750272acdcf517571fff9b39036b4deebf70470060dbe4724ab,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep03/MD.mdp,MD.mdp,10563f2701dd85372d8b838a7efb8eb06682b914c0f99dce795d022df0ddb741,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep03/NPT.mdp,NPT.mdp,9a500f1e9faf71093c6b94bc663a3a9348d185354f43cd9a4c10d43210c8f069,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/bi/rep03/NVT.mdp,NVT.mdp,b678583b5dcbb77c1f82507e344699f9aecc18f6c100293d67463c0f3d50a8d3,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep01/MD.mdp,MD.mdp,187c20a05a37605a90ca81156b36f69a41ae8cd1574049bac572e540141e4c86,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep01/NPT.mdp,NPT.mdp,1f290a3a451d5788b0cd1d6be09b32928e28e1acb5a319c26fc608223e690041,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep01/NVT.mdp,NVT.mdp,4b0898e2c7c03e25569a0498354fe541a841324eec6e2c33460e3983b6e13487,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep02/MD.mdp,MD.mdp,0d96dfa67928128f5772b043a08a46659a9ef1d22e24e6dc8955842458da44fb,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep02/NPT.mdp,NPT.mdp,d46358d243d693f717afd4b5c1d796519b1a253165e170dd359bddc1e6d87654,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep02/NVT.mdp,NVT.mdp,5ee44118b2d0c555c548b4d09368e0fd60e85b4c6010a9dfca0885376d7f969b,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep03/MD.mdp,MD.mdp,30f6be915517fec6fb59d93b24b0cec95316c178581819427c89f66212accd8b,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep03/NPT.mdp,NPT.mdp,6cca0e2e83d2cadff46578b3a2b4cf3d365e1ad4e5937d5a21faf4b997bcde1f,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/head/rep03/NVT.mdp,NVT.mdp,50ab7b803f189de6301466d8ac5ffd9b20884440952578e03d4309c5feb3f19a,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep01/MD.mdp,MD.mdp,3855bf32f64107f9a5d5391a1a78928ca20cfcda917af4231a0d21fadaade11c,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep01/NPT.mdp,NPT.mdp,79f0a4171242d17f668c1521c8503088c70ea0255bb80f69df0279f13b9350a8,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep01/NVT.mdp,NVT.mdp,7067a201ff15084a20612e82351766363c7b12dbf119e27c6f396564ed0b2fa3,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep02/MD.mdp,MD.mdp,049ada0f5009a581f0cabe52f605eaf87c1da94b6fd5f33b04badadb22668335,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep02/NPT.mdp,NPT.mdp,351498cbb7050a5d3b7dbe75e3e04ab706260eb379b28b8899a15b4288ead958,byte_exact_copy; identity_based_path_rename_content_unchanged,
01_simulation/configurations/mdp/FoCut5a/L10/tail/rep02/NVT.mdp,NVT.mdp,45a2ef10ff53959eb3472b7a4f54fd9369dfdf0c3cbfe4456fd541b4b6ad0d40,byte_exact_copy; identity_based_path_rename_content_unchanged,
