source_table,case,trajectory_id,protein_id,pet_length,analysis_direction,master_direction,replica_id
candidate_case_contact_values.csv,Pro00083_PET_L20_head_side_r03,Pro00083__PET_L20__head-side__r3,Pro00083,20,head-side,head-side,3
candidate_case_contact_values.csv,Pro00083_PET_L20_tail_side_r01,Pro00083__PET_L20__tail-side__r1,Pro00083,20,tail-side,tail-side,1
candidate_case_contact_values.csv,Pro00083_PET_L20_tail_side_r02,Pro00083__PET_L20__tail-side__r2,Pro00083,20,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00121_PET_L10_bidirectional_r03,Pro00121__PET_L10__bidirectional__r3,Pro00121,10,bidirectional,bidirectional,3
candidate_case_contact_values.csv,Pro00121_PET_L10_head_side_r02,Pro00121__PET_L10__head-side__r2,Pro00121,10,head-side,head-side,2
candidate_case_contact_values.csv,Pro00121_PET_L10_tail_side_r01,Pro00121__PET_L10__tail-side__r1,Pro00121,10,tail-side,tail-side,1
candidate_case_contact_values.csv,Pro00121_PET_L10_tail_side_r02,Pro00121__PET_L10__tail-side__r2,Pro00121,10,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00121_PET_L10_tail_side_r03,Pro00121__PET_L10__tail-side__r3,Pro00121,10,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00121_PET_L20_bidirectional_r01,Pro00121__PET_L20__bidirectional__r1,Pro00121,20,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00121_PET_L20_bidirectional_r02,Pro00121__PET_L20__bidirectional__r2,Pro00121,20,bidirectional,bidirectional,2
candidate_case_contact_values.csv,Pro00121_PET_L20_bidirectional_r03,Pro00121__PET_L20__bidirectional__r3,Pro00121,20,bidirectional,bidirectional,3
candidate_case_contact_values.csv,Pro00121_PET_L20_head_side_r01,Pro00121__PET_L20__head-side__r1,Pro00121,20,head-side,head-side,1
candidate_case_contact_values.csv,Pro00121_PET_L20_head_side_r02,Pro00121__PET_L20__head-side__r2,Pro00121,20,head-side,head-side,2
candidate_case_contact_values.csv,Pro00121_PET_L20_head_side_r03,Pro00121__PET_L20__head-side__r3,Pro00121,20,head-side,head-side,3
candidate_case_contact_values.csv,Pro00121_PET_L20_tail_side_r01,Pro00121__PET_L20__tail-side__r1,Pro00121,20,tail-side,tail-side,1
candidate_case_contact_values.csv,Pro00121_PET_L20_tail_side_r02,Pro00121__PET_L20__tail-side__r2,Pro00121,20,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00137_PET_L10_head_side_r01,Pro00137__PET_L10__head-side__r1,Pro00137,10,head-side,head-side,1
candidate_case_contact_values.csv,Pro00137_PET_L10_head_side_r03,Pro00137__PET_L10__head-side__r3,Pro00137,10,head-side,head-side,3
candidate_case_contact_values.csv,Pro00137_PET_L10_tail_side_r03,Pro00137__PET_L10__tail-side__r3,Pro00137,10,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00137_PET_L20_bidirectional_r02,Pro00137__PET_L20__bidirectional__r2,Pro00137,20,bidirectional,bidirectional,2
candidate_case_contact_values.csv,Pro00137_PET_L20_tail_side_r02,Pro00137__PET_L20__tail-side__r2,Pro00137,20,tail-side,tail-side,2
trajectory_metric_values.csv,Pro00057_PET_L10_bidirectional_r02,Pro00057__PET_L10__bidirectional__r2,Pro00057,10,bidirectional,bidirectional,2
trajectory_metric_values.csv,Pro00057_PET_L10_bidirectional_r03,Pro00057__PET_L10__bidirectional__r3,Pro00057,10,bidirectional,bidirectional,3
trajectory_metric_values.csv,Pro00057_PET_L10_head_side_r02,Pro00057__PET_L10__head-side__r2,Pro00057,10,head_side,head-side,2
trajectory_metric_values.csv,Pro00057_PET_L10_head_side_r03,Pro00057__PET_L10__head-side__r3,Pro00057,10,head_side,head-side,3
trajectory_metric_values.csv,Pro00057_PET_L10_tail_side_r02,Pro00057__PET_L10__tail-side__r2,Pro00057,10,tail_side,tail-side,2
trajectory_metric_values.csv,Pro00057_PET_L10_tail_side_r03,Pro00057__PET_L10__tail-side__r3,Pro00057,10,tail_side,tail-side,3
trajectory_metric_values.csv,Pro00057_PET_L20_bidirectional_r01,Pro00057__PET_L20__bidirectional__r1,Pro00057,20,bidirectional,bidirectional,1
trajectory_metric_values.csv,Pro00057_PET_L20_bidirectional_r02,Pro00057__PET_L20__bidirectional__r2,Pro00057,20,bidirectional,bidirectional,2
trajectory_metric_values.csv,Pro00057_PET_L20_head_side_r01,Pro00057__PET_L20__head-side__r1,Pro00057,20,head_side,head-side,1
trajectory_metric_values.csv,Pro00057_PET_L20_head_side_r02,Pro00057__PET_L20__head-side__r2,Pro00057,20,head_side,head-side,2
trajectory_metric_values.csv,Pro00057_PET_L20_head_side_r03,Pro00057__PET_L20__head-side__r3,Pro00057,20,head_side,head-side,3
trajectory_metric_values.csv,Pro00057_PET_L20_tail_side_r02,Pro00057__PET_L20__tail-side__r2,Pro00057,20,tail_side,tail-side,2
trajectory_metric_values.csv,Pro00121_PET_L10_bidirectional_r03,Pro00121__PET_L10__bidirectional__r3,Pro00121,10,bidirectional,bidirectional,3
trajectory_metric_values.csv,Pro00121_PET_L10_head_side_r02,Pro00121__PET_L10__head-side__r2,Pro00121,10,head_side,head-side,2
trajectory_metric_values.csv,Pro00121_PET_L10_tail_side_r01,Pro00121__PET_L10__tail-side__r1,Pro00121,10,tail_side,tail-side,1
trajectory_metric_values.csv,Pro00121_PET_L10_tail_side_r02,Pro00121__PET_L10__tail-side__r2,Pro00121,10,tail_side,tail-side,2
trajectory_metric_values.csv,Pro00121_PET_L10_tail_side_r03,Pro00121__PET_L10__tail-side__r3,Pro00121,10,tail_side,tail-side,3
trajectory_metric_values.csv,Pro00121_PET_L20_bidirectional_r01,Pro00121__PET_L20__bidirectional__r1,Pro00121,20,bidirectional,bidirectional,1
trajectory_metric_values.csv,Pro00121_PET_L20_bidirectional_r02,Pro00121__PET_L20__bidirectional__r2,Pro00121,20,bidirectional,bidirectional,2
trajectory_metric_values.csv,Pro00121_PET_L20_bidirectional_r03,Pro00121__PET_L20__bidirectional__r3,Pro00121,20,bidirectional,bidirectional,3
trajectory_metric_values.csv,Pro00121_PET_L20_head_side_r01,Pro00121__PET_L20__head-side__r1,Pro00121,20,head_side,head-side,1
trajectory_metric_values.csv,Pro00121_PET_L20_head_side_r02,Pro00121__PET_L20__head-side__r2,Pro00121,20,head_side,head-side,2
trajectory_metric_values.csv,Pro00121_PET_L20_head_side_r03,Pro00121__PET_L20__head-side__r3,Pro00121,20,head_side,head-side,3
trajectory_metric_values.csv,Pro00121_PET_L20_tail_side_r01,Pro00121__PET_L20__tail-side__r1,Pro00121,20,tail_side,tail-side,1
trajectory_metric_values.csv,Pro00121_PET_L20_tail_side_r02,Pro00121__PET_L20__tail-side__r2,Pro00121,20,tail_side,tail-side,2
